Userid,Marital status,Application mode,Application order,Course,Morning shift participation,Previous qualification,Previous qualification score,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Entry score,Displaced,Special needs,Debtor,Regularized Fees,Gender_Male,External Funding,Age at enrollment,International,N units credited 1st period,N units taken 1st period,N scored units 1st period,N units approved 1st period,Average grade 1st period,N unscored units 1st period,N units credited 2nd period,N units taken 2nd period,N scored units 2nd period,N units approved 2nd period,Average grade 2nd period,N unscored units 2nd period,Success,Social Popularity,Registered,Observations
3190,single,1.0,1.0,Animation and Multimedia Design,1.0,12th grade,118.0,Portuguese,4th grade,4th grade,Superior-level Professional,Private Security,110.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gave up,44,Yes,
1997,single,2.0,1.0,Veterinary Nursing,1.0,12th grade,142.0,Portuguese,Bachelor degree,4th grade,Administrative Staff,Assembly Worker,132.4,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,6.0,13.857142857142858,0.0,0.0,6.0,15.0,,13.1,0.0,Succeeded,14,Yes,
4253,married,1.0,1.0,Management (evening attendance),0.0,12th grade,144.0,Portuguese,9th grade,9th grade,Unskilled Worker,Unskilled Worker,151.4,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,5.0,5.0,5.0,12.0,0.0,0.0,5.0,6.0,5.0,11.6,0.0,Succeeded,34,Yes,
2074,single,1.0,3.0,Veterinary Nursing,1.0,12th grade,130.0,Portuguese,12th grade,9th grade,Unskilled Worker,Unskilled Worker,121.3,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,5.0,6.0,5.0,14.6,0.0,0.0,5.0,5.0,5.0,13.8,0.0,Succeeded,28,Yes,
4100,single,3.0,1.0,Social Service,1.0,12th grade,147.0,Portuguese,6th grade,,Administrative Staff,Student,130.2,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,Gave up,41,Yes,
893,single,0.0,1.0,Nursing,1.0,12th grade,150.0,Portuguese,4th grade,4th grade,Unskilled Worker,Unskilled Worker,130.8,1.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,8.0,8.0,7.0,14.428571428571429,0.0,0.0,8.0,8.0,7.0,14.428571428571429,0.0,Succeeded,63,Yes,
2330,married,0.0,1.0,Communication Design,1.0,11th grade,110.0,Portuguese,4th grade,6th grade,Private Security,Armed Forces,130.0,0.0,0.0,1.0,0.0,1.0,1.0,46.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,Gave up,52,Yes,
4220,single,1.0,4.0,Social Service,1.0,12th grade,135.0,Portuguese,4th grade,4th grade,Unskilled Worker,Unskilled Worker,121.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,5.0,13.0,0.0,0.0,6.0,7.0,6.0,11.833333333333334,0.0,Succeeded,83,Yes,
1473,single,2.0,1.0,Journalism and Communication,1.0,12th grade,130.0,Portuguese,9th grade,6th grade,Administrative Staff,Unskilled Worker,126.2,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,0.0,6.0,7.0,6.0,11.333333333333334,0.0,0.0,6.0,8.0,6.0,12.285714285714286,0.0,Succeeded,99,Yes,
1118,single,1.0,1.0,Nursing,1.0,12th grade,138.0,Portuguese,6th grade,9th grade,Unskilled Worker,Private Security,144.3,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,7.0,9.0,6.0,12.7,0.0,0.0,8.0,8.0,7.0,13.571428571428571,0.0,Succeeded,66,Yes,
621,single,1.0,1.0,Journalism and Communication,1.0,12th grade,133.1,Portuguese,Bachelor degree,9th grade,Administrative Staff,Private Security,105.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,6.0,6.0,13.833333333333334,0.0,0.0,6.0,6.0,6.0,12.5,0.0,Succeeded,13,Yes,
2120,single,2.0,1.0,Animation and Multimedia Design,1.0,12th grade,133.0,Portuguese,12th grade,12th grade,Engineer,Engineer,134.8,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holding on,8,Yes,
1115,single,1.0,1.0,Nursing,1.0,12th grade,145.0,Portuguese,9th grade,9th grade,Unskilled Worker,Engineer,136.6,0.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,7.0,12.0,6.0,13.766666666666666,0.0,0.0,8.0,10.0,7.0,14.051428571428572,0.0,Succeeded,59,Yes,
3271,married,1.0,1.0,Tourism,1.0,12th grade,136.0,Portuguese,4th grade,4th grade,Unskilled Worker,Unskilled Worker,122.7,0.0,0.0,0.0,1.0,0.0,1.0,45.0,,0.0,6.0,10.0,4.0,11.5,0.0,0.0,6.0,16.0,2.0,10.5,0.0,Gave up,45,Yes,
3736,single,1.0,2.0,Nursing,1.0,12th grade,144.0,Portuguese,6th grade,4th grade,Unskilled Worker,Unskilled Worker,128.8,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,7.0,7.0,6.0,13.2,0.0,0.0,7.0,7.0,6.0,13.2,0.0,Succeeded,18,Yes,
1903,single,1.0,1.0,Equinculture,1.0,12th grade,127.0,Portuguese,12th grade,12th grade,Administrative Staff,Administrative Staff,120.4,1.0,0.0,,1.0,0.0,0.0,18.0,,0.0,6.0,9.0,6.0,15.125,0.0,0.0,6.0,9.0,6.0,14.0,0.0,Succeeded,17,Yes,
1908,single,1.0,6.0,Nursing,1.0,12th grade,141.0,Portuguese,9th grade,12th grade,Unskilled Worker,Armed Forces,126.8,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,8.0,8.0,7.0,12.944285714285714,0.0,0.0,8.0,8.0,7.0,12.944285714285714,0.0,Succeeded,61,Yes,
281,single,1.0,2.0,Management,1.0,12th grade,139.0,Portuguese,6th grade,4th grade,Unskilled Worker,Unskilled Worker,123.7,1.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,5.0,8.0,4.0,12.0,0.0,0.0,5.0,8.0,4.0,11.4,2.0,Succeeded,62,Yes,
2216,single,1.0,2.0,Journalism and Communication,1.0,12th grade,133.0,Portuguese,Bachelor degree,12th grade,Scientist,Administrative Staff,130.2,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,9.0,5.0,12.6,0.0,6.0,10.0,16.0,8.0,11.0,1.0,Holding on,30,Yes,
3543,single,0.0,1.0,Management (evening attendance),0.0,12th grade,100.0,Portuguese,4th grade,6th grade,Unskilled Worker,Administrative Staff,140.0,0.0,0.0,0.0,1.0,1.0,0.0,39.0,0.0,0.0,5.0,7.0,4.0,12.25,0.0,0.0,5.0,7.0,4.0,12.75,0.0,Holding on,57,Yes,
3422,single,0.0,1.0,Veterinary Nursing,1.0,12th grade - Technological specialization course,130.0,Portuguese,4th grade,6th grade,Unskilled Worker,Engineer,130.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,Gave up,39,Yes,
1116,single,3.0,1.0,Nursing,1.0,12th grade,124.0,Portuguese,6th grade,4th grade,Unskilled Worker,Engineer,119.3,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,8.0,8.0,8.0,13.11625,0.0,0.0,8.0,8.0,8.0,13.11625,0.0,Succeeded,86,Yes,
3684,single,3.0,1.0,Animation and Multimedia Design,1.0,12th grade,110.0,Portuguese,9th grade,Bachelor degree,Private Security,Private Security,117.7,1.0,,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Succeeded,2,Yes,
3441,single,2.0,1.0,Oral Hygiene,1.0,12th grade,133.0,Portuguese,12th grade,6th grade,Administrative Staff,Unskilled Worker,119.0,0.0,0.0,0.0,,,0.0,19.0,0.0,0.0,7.0,10.0,6.0,11.15,0.0,0.0,7.0,7.0,7.0,12.814285714285717,0.0,Holding on,57,Yes,
711,married,0.0,1.0,Management (evening attendance),,9th grade,133.1,Portuguese,6th grade,6th grade,Other,Other,121.7,1.0,0.0,0.0,1.0,1.0,0.0,45.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,,0.0,0.0,Gave up,54,Yes,
2087,single,0.0,1.0,Social Service (evening attendance),0.0,Bachelor degree,140.0,Portuguese,12th grade,12th grade,Administrative Staff,Administrative Staff,140.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Gave up,25,Yes,
392,single,0.0,1.0,Nursing,1.0,12th grade,150.0,Portuguese,12th grade,9th grade,Private Security,Superior-level Professional,140.0,0.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,7.0,11.0,5.0,11.2,0.0,0.0,,13.0,5.0,12.14,0.0,Holding on,35,Yes,
3292,single,0.0,1.0,Agronomy,1.0,12th grade,130.0,Portuguese,4th grade,4th grade,Unskilled Worker,Engineer,113.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,6.0,17.0,1.0,13.0,0.0,0.0,6.0,8.0,,0.0,0.0,Gave up,11,Yes,
4272,single,2.0,4.0,Informatics Engineering,1.0,12th grade,138.0,Portuguese,12th grade,Bachelor degree,Politician/CEO,Administrative Staff,127.5,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,5.0,6.0,5.0,14.6,0.0,0.0,5.0,5.0,5.0,15.2,0.0,Gave up,67,Yes,
1233,single,0.0,1.0,Nursing,1.0,Bachelor degree,130.0,Portuguese,9th grade,6th grade,Administrative Staff,Armed Forces,130.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,1.0,7.0,8.0,6.0,14.357142857142858,0.0,1.0,7.0,8.0,6.0,14.357142857142858,0.0,Succeeded,61,Yes,
3215,single,1.0,4.0,Communication Design,1.0,12th grade,170.0,Portuguese,Bachelor degree,Bachelor degree,Scientist,Scientist,165.8,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,7.0,6.0,14.5,0.0,0.0,6.0,6.0,6.0,15.166666666666666,0.0,Succeeded,59,Yes,
1278,married,0.0,1.0,Management,1.0,12th grade,133.1,Portuguese,4th grade,4th grade,Unskilled Worker,Unskilled Worker,140.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,8.0,4.0,12.5,1.0,0.0,5.0,8.0,5.0,11.8,0.0,Gave up,73,Yes,
4301,single,0.0,1.0,Agronomy,1.0,12th grade - Technological specialization course,130.0,Portuguese,12th grade,4th grade,Engineer,Engineer,130.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,6.0,14.0,5.0,11.714285714285714,0.0,0.0,6.0,15.0,5.0,12.0,0.0,Succeeded,51,Yes,
1323,single,1.0,5.0,Nursing,1.0,12th grade,145.0,Portuguese,6th grade,6th grade,Unskilled Worker,Unskilled Worker,125.5,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,,8.0,8.0,13.76375,0.0,0.0,8.0,8.0,8.0,13.76375,0.0,Succeeded,30,Yes,
1675,single,2.0,4.0,Nursing,1.0,12th grade,136.0,Portuguese,12th grade,12th grade,Administrative Staff,Unskilled Worker,128.5,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,7.0,6.0,12.766666666666666,0.0,0.0,7.0,7.0,6.0,12.766666666666666,0.0,Succeeded,96,Yes,
3719,single,0.0,1.0,Management,1.0,12th grade,122.0,Portuguese,12th grade,6th grade,Politician/CEO,Engineer,118.9,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,5.0,11.0,2.0,10.5,0.0,0.0,5.0,13.0,,0.0,0.0,Gave up,56,Yes,
184,single,3.0,3.0,Communication Design,1.0,12th grade,131.0,Portuguese,12th grade,4th grade,Private Security,Private Security,122.3,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,12.166666666666666,0.0,0.0,6.0,6.0,0.0,0.0,0.0,Gave up,17,Yes,
1102,single,2.0,1.0,Equinculture,1.0,12th grade,122.0,Portuguese,9th grade,9th grade,Unskilled Worker,Unskilled Worker,121.7,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,Gave up,74,Yes,
3853,single,0.0,,Agronomy,1.0,12th grade,120.0,Portuguese,4th grade,4th grade,Private Security,Unskilled Worker,120.0,1.0,0.0,0.0,1.0,1.0,0.0,39.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,1.0,6.0,8.0,2.0,11.0,0.0,Gave up,8,Yes,
2563,married,0.0,,Nursing,1.0,9th grade,133.1,Portuguese,6th grade,6th grade,Scientist,Armed Forces,120.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,7.0,9.0,2.0,10.75,0.0,0.0,7.0,9.0,0.0,0.0,0.0,Gave up,62,Yes,
1759,single,1.0,4.0,Advertising and Marketing Management,1.0,12th grade,125.0,Portuguese,Master degree,9th grade,Scientist,Private Security,118.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,7.0,6.0,14.428571428571429,0.0,0.0,6.0,8.0,6.0,15.0,2.0,Succeeded,72,Yes,
4302,single,0.0,1.0,Animation and Multimedia Design,1.0,12th grade - Technological specialization course,140.0,Portuguese,6th grade,4th grade,Unskilled Worker,Engineer,140.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Gave up,19,Yes,
1982,single,2.0,1.0,Social Service,1.0,12th grade,116.0,Portuguese,9th grade,9th grade,Engineer,Engineer,111.1,1.0,0.0,0.0,,0.0,1.0,18.0,0.0,0.0,6.0,9.0,6.0,11.333333333333334,0.0,0.0,6.0,9.0,6.0,11.833333333333334,0.0,Succeeded,71,Yes,
1678,facto union,0.0,1.0,Management (evening attendance),0.0,12th grade,110.0,Portuguese,12th grade,12th grade,Superior-level Professional,Superior-level Professional,119.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,0.0,0.0,5.0,10.0,4.0,10.5,0.0,0.0,5.0,6.0,5.0,12.6,0.0,Succeeded,83,Yes,
789,single,1.0,3.0,Veterinary Nursing,1.0,12th grade,143.0,Portuguese,4th grade,4th grade,Student,Other,159.1,0.0,0.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,5.0,5.0,5.0,14.4,0.0,0.0,5.0,5.0,5.0,14.0,0.0,Gave up,11,Yes,
53,single,1.0,1.0,Journalism and Communication,1.0,12th grade,127.0,Portuguese,12th grade,9th grade,Engineer,Engineer,121.8,1.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,6.0,11.0,4.0,14.0,0.0,0.0,6.0,12.0,3.0,11.0,0.0,Holding on,35,Yes,
2874,facto union,0.0,1.0,Tourism,1.0,Bachelor degree,120.0,Portuguese,4th grade,4th grade,Administrative Staff,Unskilled Worker,120.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,9.0,15.0,21.0,13.0,12.692307692307692,0.0,12.0,15.0,22.0,13.0,12.384615384615383,0.0,Succeeded,72,Yes,
4206,single,1.0,3.0,Nursing,1.0,12th grade,154.0,Portuguese,12th grade,4th grade,Administrative Staff,Unskilled Worker,134.8,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,7.0,6.0,13.533333333333331,0.0,0.0,7.0,7.0,6.0,13.533333333333331,0.0,Succeeded,38,Yes,
1978,single,0.0,1.0,Social Service,1.0,12th grade - Technological specialization course,140.0,Portuguese,12th grade,9th grade,Cleaning worker,,143.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,3.0,6.0,6.0,6.0,13.5,0.0,2.0,6.0,9.0,5.0,12.5,0.0,Succeeded,37,Yes,
3890,single,1.0,2.0,Oral Hygiene,,12th grade,130.0,Portuguese,12th grade,6th grade,Superior-level Professional,Assembly Worker,119.5,1.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0,7.0,7.0,7.0,12.242857142857144,0.0,0.0,8.0,8.0,8.0,14.125,0.0,Succeeded,74,Yes,
4079,married,0.0,1.0,Management (evening attendance),0.0,12th grade,170.0,Portuguese,6th grade,9th grade,Administrative Staff,Assembly Worker,134.7,0.0,,0.0,1.0,0.0,0.0,33.0,0.0,0.0,5.0,5.0,5.0,12.8,0.0,0.0,5.0,6.0,5.0,15.333333333333334,0.0,Succeeded,39,Yes,
1605,single,0.0,1.0,Agronomy,1.0,9th grade,133.1,Portuguese,12th grade,9th grade,Unskilled Worker,Assembly Worker,120.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,0.0,6.0,11.0,2.0,11.5,0.0,0.0,6.0,7.0,0.0,0.0,0.0,Gave up,86,Yes,
252,single,1.0,3.0,Journalism and Communication,1.0,12th grade,131.0,Portuguese,6th grade,4th grade,Engineer,Engineer,127.2,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,15.0,0.0,0.0,6.0,6.0,6.0,12.833333333333334,,Gave up,47,Yes,
1944,single,1.0,1.0,Communication Design,1.0,12th grade,117.0,Portuguese,Master degree,9th grade,Superior-level Professional,Private Security,123.7,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,12.666666666666666,0.0,0.0,6.0,8.0,5.0,11.4,0.0,Succeeded,27,Yes,
2727,single,0.0,1.0,Veterinary Nursing,1.0,12th grade - Technological specialization course,150.0,Portuguese,9th grade,9th grade,Unskilled Worker,Unskilled Worker,150.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,1.0,6.0,14.0,5.0,14.428571428571429,0.0,1.0,6.0,7.0,6.0,13.428571428571429,0.0,Succeeded,26,Yes,
3007,single,1.0,4.0,Management,1.0,12th grade,137.0,Portuguese,12th grade,9th grade,Administrative Staff,Private Security,136.3,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,9.0,4.0,11.25,0.0,0.0,5.0,6.0,4.0,11.0,0.0,Succeeded,36,Yes,
1926,single,2.0,1.0,Social Service,1.0,12th grade,131.0,Portuguese,12th grade,12th grade,Administrative Staff,Armed Forces,129.3,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,4.0,8.0,8.0,8.0,13.875,0.0,1.0,6.0,8.0,5.0,14.0,0.0,Succeeded,43,Yes,
1422,single,1.0,3.0,Management,1.0,12th grade,127.0,Portuguese,12th grade,6th grade,Private Security,Engineer,123.5,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,5.0,5.0,5.0,11.6,0.0,0.0,5.0,11.0,3.0,12.666666666666666,0.0,Holding on,25,Yes,
340,single,2.0,1.0,Equinculture,1.0,12th grade,156.0,Portuguese,Bachelor degree,11th grade,Superior-level Professional,Private Security,166.9,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,,5.0,9.0,4.0,11.25,0.0,0.0,5.0,6.0,4.0,12.5,0.0,Succeeded,52,Yes,
2245,single,0.0,1.0,Tourism,1.0,9th grade,133.1,Portuguese,4th grade,4th grade,Other,Other,100.0,0.0,0.0,0.0,1.0,1.0,0.0,48.0,0.0,0.0,6.0,13.0,3.0,10.0,0.0,0.0,6.0,15.0,1.0,10.0,0.0,Gave up,6,Yes,
2023,single,2.0,4.0,Animation and Multimedia Design,1.0,12th grade,133.1,Portuguese,6th grade,6th grade,Unskilled Worker,Unskilled Worker,117.0,1.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gave up,75,Yes,
3047,single,1.0,1.0,Veterinary Nursing,1.0,12th grade,146.0,Portuguese,12th grade,12th grade,Unskilled Worker,Engineer,126.0,0.0,0.0,0.0,1.0,,0.0,19.0,0.0,0.0,5.0,7.0,3.0,12.333333333333334,0.0,,5.0,7.0,4.0,10.25,0.0,Holding on,10,Yes,
3566,married,0.0,,Management (evening attendance),0.0,12th grade,160.0,Portuguese,12th grade,Bachelor degree,Politician/CEO,Scientist,130.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,0.0,0.0,5.0,12.0,3.0,10.666666666666666,0.0,0.0,5.0,11.0,3.0,10.666666666666666,0.0,Gave up,42,Yes,
2238,single,0.0,1.0,Tourism,1.0,9th grade,133.1,Portuguese,6th grade,4th grade,Administrative Staff,Private Security,102.5,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,Gave up,76,Yes,
3001,single,0.0,1.0,Nursing,1.0,12th grade,148.0,Portuguese,Bachelor degree,9th grade,Scientist,Private Security,130.0,0.0,0.0,,1.0,0.0,0.0,24.0,0.0,0.0,8.0,12.0,7.0,12.714285714285714,0.0,0.0,8.0,12.0,7.0,12.714285714285714,0.0,Holding on,35,Yes,
2040,single,1.0,4.0,Social Service,1.0,12th grade,134.0,Portuguese,6th grade,9th grade,Engineer,Engineer,128.4,,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,12.5,0.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,Succeeded,24,Yes,
2698,single,2.0,1.0,Advertising and Marketing Management,1.0,12th grade,115.0,Portuguese,9th grade,9th grade,Cleaning worker,Skilled construction workers,109.1,0.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,6.0,11.0,4.0,12.25,0.0,0.0,6.0,9.0,4.0,13.4,0.0,Holding on,46,Yes,
4225,single,0.0,1.0,Nursing,1.0,12th grade,134.0,Portuguese,6th grade,9th grade,Private Security,Assembly Worker,120.7,0.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,7.0,9.0,6.0,13.0,0.0,0.0,8.0,11.0,8.0,13.927272727272726,0.0,Succeeded,93,Yes,
3310,married,0.0,1.0,Nursing,1.0,12th grade,140.0,Portuguese,9th grade,9th grade,Unskilled Worker,Engineer,110.5,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Gave up,9,Yes,
3352,married,0.0,1.0,Agronomy,1.0,12th grade - Technological specialization course,140.0,Portuguese,4th grade,4th grade,Administrative Staff,Engineer,140.0,0.0,0.0,0.0,1.0,1.0,0.0,37.0,0.0,0.0,6.0,17.0,1.0,12.0,0.0,0.0,6.0,23.0,2.0,10.5,1.0,Gave up,34,Yes,
4270,single,2.0,2.0,Communication Design,1.0,12th grade,142.0,Portuguese,Bachelor degree,12th grade,Scientist,Administrative Staff,141.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,13.0,0.0,0.0,6.0,,1.0,10.0,0.0,Holding on,6,Yes,
2222,single,1.0,2.0,Nursing,1.0,12th grade,99.0,Portuguese,12th grade,Bachelor degree,Private Security,Armed Forces,100.0,1.0,0.0,0.0,1.0,,0.0,19.0,0.0,0.0,7.0,9.0,7.0,11.975,0.0,0.0,8.0,9.0,7.0,13.12857142857143,0.0,Succeeded,73,Yes,
3730,single,1.0,1.0,Agronomy,1.0,12th grade,133.1,Portuguese,6th grade,6th grade,Administrative Staff,Assembly Worker,115.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,0.0,8.0,12.0,13.0,12.0,14.538461538461538,0.0,4.0,12.0,14.0,12.0,14.461538461538462,0.0,Succeeded,93,Yes,
